update_date,update_type,update_status,region_code,district
2024-05-30,Email,Approved,KA-MYS,Mumbai
2026-04-14,DOB,Approved,MH-NSK,New Delhi
2026-04-08,Email,Approved,KA-MYS,Mumbai
2025-04-11,Name,Approved,UP-LKO,Coimbatore
2025-10-11,Name,Approved,MH-NSK,Pune
2024-11-27,Email,Rejected,MH-NSK,Mysuru
2025-07-22,Photo,Approved,MH-MUM,New Delhi
2024-12-01,Address,Pending,MH-MUM,Nashik
2025-02-15,Mobile,Approved,UP-LKO,Bengaluru
2025-07-15,Biometric,Pending,UP-AGR,Pune
2025-11-26,Name,Approved,DL-NDL,Agra
2024-06-19,Photo,Pending,KA-BLR,Nashik
2026-01-23,Address,Approved,MH-PUN,Lucknow
2026-02-09,Name,Pending,TN-CHN,Coimbatore
2024-10-05,Name,Pending,UP-AGR,New Delhi
2024-12-11,Biometric,Pending,TN-CBE,Nashik
2025-04-18,Photo,Approved,MH-NSK,Bengaluru
2025-08-05,Email,Approved,KA-MYS,Mysuru
2025-06-21,Photo,Approved,DL-NDL,New Delhi
2025-01-08,Biometric,Approved,MH-NSK,New Delhi
2025-02-10,Name,Pending,TN-CBE,Nashik
2025-11-25,Address,Rejected,KA-BLR,Chennai
2024-11-24,Mobile,Approved,KA-BLR,Mysuru
2025-12-09,Biometric,Approved,TN-CBE,Mysuru
2024-06-18,Name,Pending,UP-AGR,New Delhi
2024-05-13,Email,Pending,TN-CHN,Lucknow
2024-11-07,Mobile,Rejected,MH-PUN,New Delhi
2024-05-12,Address,Approved,UP-LKO,New Delhi
2025-10-20,Photo,Approved,MH-PUN,Pune
2025-07-05,Photo,Pending,UP-LKO,Bengaluru
2024-05-06,Biometric,Approved,KA-BLR,Lucknow
2025-05-23,Email,Pending,KA-MYS,New Delhi
2024-04-22,DOB,Approved,KA-BLR,Nashik
2026-01-01,Address,Approved,MH-NSK,Mysuru
2025-03-03,DOB,Approved,TN-CBE,Nashik
2025-01-14,Email,Pending,KA-MYS,Mysuru
2024-04-24,Address,Pending,TN-CHN,Mumbai
2025-10-16,Biometric,Rejected,MH-NSK,Nashik
2025-02-01,Email,Pending,UP-AGR,New Delhi
2024-08-20,Biometric,Rejected,KA-MYS,Agra
2025-10-16,Biometric,Approved,TN-CHN,Chennai
2025-09-22,DOB,Rejected,DL-NDL,Lucknow
2026-01-31,Photo,Approved,KA-MYS,Coimbatore
2025-02-27,Mobile,Approved,TN-CBE,Chennai
2025-04-04,Address,Approved,UP-LKO,Nashik
2024-11-28,Name,Pending,DL-NDL,Mumbai
2025-08-08,DOB,Approved,KA-BLR,Mumbai
2025-10-13,Mobile,Rejected,UP-AGR,Nashik
2024-10-13,Address,Approved,TN-CHN,Bengaluru
2026-02-24,Address,Rejected,UP-LKO,Mysuru
2025-08-20,Address,Approved,TN-CBE,Nashik
2024-12-08,Mobile,Approved,TN-CHN,New Delhi
2024-12-01,Photo,Pending,MH-PUN,Pune
2025-07-01,DOB,Approved,DL-NDL,Chennai
2025-11-24,Name,Pending,TN-CHN,Nashik
2025-11-09,Mobile,Rejected,MH-NSK,Pune
2024-12-26,Biometric,Approved,UP-AGR,Lucknow
2025-06-14,Mobile,Approved,MH-NSK,New Delhi
2025-08-31,Mobile,Pending,TN-CBE,Pune
2026-03-07,Biometric,Approved,MH-MUM,Bengaluru
2026-03-13,Photo,Approved,TN-CHN,Pune
2024-08-02,Name,Approved,TN-CHN,Bengaluru
2025-01-14,Email,Rejected,TN-CHN,Chennai
2025-11-29,Mobile,Pending,UP-AGR,Nashik
2026-02-18,Mobile,Approved,KA-BLR,Chennai
2025-11-29,DOB,Pending,KA-MYS,Mumbai
2024-12-18,Name,Approved,UP-LKO,Bengaluru
2026-02-02,Photo,Approved,UP-AGR,Mumbai
2025-10-26,Email,Pending,MH-MUM,Agra
2025-11-07,Mobile,Approved,KA-MYS,Mumbai
2026-04-14,Mobile,Rejected,KA-MYS,Mysuru
2024-07-18,Biometric,Approved,UP-LKO,Mysuru
2024-10-03,Name,Approved,DL-NDL,New Delhi
2025-11-23,Biometric,Rejected,UP-LKO,Mysuru
2024-09-26,Name,Approved,KA-MYS,Pune
2024-05-17,DOB,Approved,KA-MYS,Bengaluru
2025-08-26,Mobile,Rejected,MH-PUN,Chennai
2025-04-19,Mobile,Approved,MH-NSK,Mysuru
2026-02-23,Email,Approved,MH-NSK,Mysuru
2025-02-24,Biometric,Pending,UP-LKO,Coimbatore
2024-08-16,Mobile,Approved,UP-LKO,Pune
2025-07-06,Address,Approved,KA-MYS,Coimbatore
2025-12-21,Email,Rejected,DL-NDL,Nashik
2025-02-16,Biometric,Approved,KA-MYS,Nashik
2024-08-13,Email,Rejected,TN-CHN,Bengaluru
2024-06-16,Mobile,Approved,TN-CHN,Agra
2025-04-04,DOB,Approved,TN-CHN,Mysuru
2025-09-06,Photo,Pending,KA-MYS,Mysuru
2025-08-19,Address,Approved,MH-MUM,Lucknow
2025-06-01,DOB,Approved,TN-CHN,Bengaluru
2024-07-25,Mobile,Approved,MH-PUN,New Delhi
2024-10-04,Photo,Approved,KA-MYS,Mysuru
2025-09-05,Photo,Approved,MH-NSK,Mumbai
2024-08-24,Biometric,Approved,KA-BLR,Mumbai
2024-08-11,Name,Approved,MH-MUM,Nashik
2025-02-03,Biometric,Approved,TN-CBE,Coimbatore
2024-10-18,Photo,Pending,KA-MYS,Pune
2024-04-30,Email,Pending,KA-BLR,New Delhi
2024-08-29,Email,Approved,MH-NSK,Coimbatore
2026-01-13,Mobile,Approved,MH-NSK,Bengaluru
2026-01-24,Mobile,Rejected,MH-PUN,Lucknow
2024-11-15,Name,Approved,MH-PUN,New Delhi
2025-08-31,DOB,Pending,UP-LKO,Bengaluru
2025-04-13,Mobile,Approved,DL-NDL,Coimbatore
2024-12-31,Email,Approved,MH-PUN,Mysuru
2025-07-03,Biometric,Approved,KA-BLR,Lucknow
2024-11-17,Mobile,Approved,MH-MUM,Agra
2024-12-21,Name,Rejected,KA-MYS,Coimbatore
2025-08-05,Photo,Rejected,KA-BLR,Coimbatore
2025-12-09,Address,Approved,TN-CHN,Chennai
2024-08-16,Email,Pending,KA-BLR,Mumbai
2025-06-03,DOB,Approved,MH-NSK,Bengaluru
2024-09-14,Biometric,Pending,MH-PUN,Lucknow
2024-04-26,Name,Approved,MH-NSK,Nashik
2025-03-19,Biometric,Approved,UP-AGR,Bengaluru
2026-01-13,Photo,Rejected,UP-LKO,Agra
2025-09-04,Biometric,Approved,TN-CHN,Agra
2024-07-12,DOB,Approved,TN-CHN,Agra
2024-11-23,Biometric,Approved,MH-PUN,Mysuru
2025-04-29,Biometric,Approved,MH-MUM,New Delhi
2025-09-02,Email,Rejected,KA-MYS,New Delhi
2026-01-08,Biometric,Approved,MH-NSK,Lucknow
2026-02-26,Email,Pending,UP-AGR,Bengaluru
2025-09-17,Address,Rejected,TN-CHN,Lucknow
2024-12-22,Mobile,Rejected,MH-MUM,Agra
2026-02-15,DOB,Approved,DL-NDL,Agra
2025-09-28,Photo,Pending,UP-LKO,Nashik
2026-02-12,Mobile,Approved,TN-CBE,Bengaluru
2024-10-22,Biometric,Approved,UP-AGR,Bengaluru
2024-09-12,Photo,Approved,TN-CHN,Nashik
2026-02-26,Address,Approved,KA-BLR,Chennai
2025-05-28,Address,Approved,KA-BLR,Coimbatore
2024-07-13,Email,Rejected,KA-BLR,Nashik
2025-02-01,Mobile,Approved,UP-LKO,Agra
2024-06-25,Email,Pending,UP-AGR,Nashik
2025-06-01,Email,Pending,UP-AGR,Nashik
2025-07-07,DOB,Approved,MH-MUM,Lucknow
2025-07-03,Biometric,Pending,KA-BLR,Pune
2025-02-06,Email,Rejected,UP-AGR,Pune
2024-10-13,DOB,Approved,KA-MYS,Agra
2025-12-20,DOB,Pending,MH-PUN,New Delhi
2025-08-18,Name,Approved,DL-NDL,Coimbatore
2024-07-26,Name,Rejected,MH-NSK,New Delhi
2025-07-27,Biometric,Rejected,TN-CHN,Mumbai
2025-09-30,Biometric,Approved,MH-NSK,New Delhi
2024-11-11,Address,Rejected,TN-CHN,New Delhi
2026-01-05,Email,Pending,KA-BLR,New Delhi
2025-07-24,Biometric,Rejected,KA-MYS,Bengaluru
2025-01-03,Photo,Rejected,KA-BLR,New Delhi
2025-01-14,Name,Pending,TN-CHN,Agra
2024-11-04,Mobile,Approved,KA-BLR,New Delhi
2026-04-13,Email,Pending,UP-AGR,Bengaluru
2025-09-18,Photo,Approved,UP-LKO,Mysuru
2025-10-11,Address,Approved,UP-LKO,Pune
2024-05-13,DOB,Approved,TN-CBE,Lucknow
2025-01-09,Address,Rejected,TN-CHN,Bengaluru
2026-02-09,Photo,Approved,KA-BLR,Chennai
2025-01-20,Name,Approved,TN-CBE,Coimbatore
2024-07-19,Biometric,Rejected,TN-CBE,Lucknow
2025-08-27,Name,Approved,UP-LKO,Mysuru
2024-05-25,Biometric,Approved,UP-AGR,New Delhi
2025-04-19,Name,Rejected,KA-MYS,Pune
2026-01-07,Address,Approved,DL-NDL,Bengaluru
2024-12-27,Mobile,Approved,TN-CBE,New Delhi
2025-08-08,Address,Approved,KA-MYS,Coimbatore
2024-07-27,Name,Approved,MH-NSK,Pune
2026-03-24,Address,Approved,MH-PUN,Mumbai
2024-06-14,Email,Pending,DL-NDL,New Delhi
2024-08-19,Mobile,Rejected,TN-CBE,Mumbai
2024-08-16,Address,Approved,TN-CBE,New Delhi
2025-03-25,Photo,Approved,TN-CHN,Chennai
2025-10-05,Biometric,Approved,TN-CBE,Coimbatore
2024-06-20,Address,Rejected,MH-NSK,Pune
2026-03-08,Biometric,Approved,UP-LKO,Bengaluru
2026-04-15,Name,Approved,UP-AGR,Nashik
2024-08-10,Address,Rejected,MH-PUN,Pune
2024-08-28,Biometric,Approved,KA-BLR,Lucknow
2025-04-25,Address,Approved,TN-CHN,Mysuru
2025-10-27,DOB,Rejected,KA-BLR,Bengaluru
2024-11-27,Mobile,Rejected,DL-NDL,Nashik
2024-12-20,Name,Approved,TN-CBE,New Delhi
2025-04-14,Biometric,Rejected,UP-AGR,Chennai
2024-09-13,DOB,Approved,KA-MYS,Coimbatore
2024-10-11,Email,Approved,TN-CHN,Mumbai
2024-10-29,Photo,Approved,TN-CHN,New Delhi
2026-01-27,Photo,Approved,MH-PUN,New Delhi
2026-03-30,Address,Approved,MH-MUM,Pune
2025-04-08,Biometric,Pending,TN-CHN,Agra
2025-07-15,Biometric,Approved,MH-PUN,Chennai
2024-09-17,Biometric,Pending,TN-CBE,Agra
2024-05-29,DOB,Approved,KA-MYS,Pune
2024-12-27,Name,Approved,DL-NDL,Agra
2026-02-25,Address,Approved,KA-BLR,Bengaluru
2025-06-06,Mobile,Pending,MH-NSK,Mumbai
2024-06-22,Mobile,Approved,MH-MUM,Mumbai
2024-07-25,Address,Pending,DL-NDL,Agra
2026-01-03,Name,Approved,MH-PUN,Mysuru
2025-10-10,Address,Approved,KA-BLR,Coimbatore
2024-08-04,Mobile,Pending,UP-LKO,Chennai
2025-03-25,Mobile,Rejected,DL-NDL,Coimbatore
2025-01-28,Address,Approved,UP-AGR,Chennai
2025-09-11,Photo,Pending,DL-NDL,Coimbatore
2025-09-06,Email,Pending,TN-CBE,Mumbai
2025-06-13,Biometric,Rejected,UP-AGR,New Delhi
2024-05-03,Address,Approved,KA-BLR,Mysuru
2025-02-05,DOB,Rejected,TN-CHN,Bengaluru
2025-06-18,Address,Approved,KA-BLR,Bengaluru
2024-09-30,Address,Approved,DL-NDL,Agra
2024-10-18,Biometric,Rejected,MH-MUM,Chennai
2024-04-30,Mobile,Pending,TN-CHN,Lucknow
2026-02-14,DOB,Pending,TN-CHN,Nashik
2025-06-03,Biometric,Pending,TN-CHN,Coimbatore
2025-04-08,Email,Approved,KA-MYS,New Delhi
2026-01-26,Email,Pending,UP-LKO,Pune
2026-04-01,Name,Rejected,KA-BLR,Lucknow
2024-10-28,Name,Approved,KA-BLR,Agra
2024-09-20,DOB,Rejected,UP-AGR,Mysuru
2024-11-02,Biometric,Approved,KA-BLR,Agra
2024-08-17,Email,Approved,KA-MYS,Mysuru
2025-02-25,Address,Rejected,MH-MUM,Pune
2024-05-25,Email,Approved,MH-MUM,Mumbai
2025-11-23,Biometric,Pending,MH-NSK,Lucknow
2025-04-26,Address,Approved,UP-AGR,Chennai
2025-07-09,Email,Pending,TN-CBE,Coimbatore
2026-03-24,Mobile,Approved,UP-LKO,Mysuru
2024-07-24,DOB,Approved,DL-NDL,Mysuru
2024-11-01,DOB,Approved,TN-CHN,Mysuru
2024-08-12,Biometric,Approved,MH-MUM,Pune
2025-04-18,Email,Approved,TN-CBE,Bengaluru
2024-08-21,Photo,Approved,TN-CBE,New Delhi
2025-01-31,Biometric,Approved,TN-CHN,Bengaluru
2025-07-29,Address,Approved,DL-NDL,Bengaluru
2026-04-01,Photo,Pending,TN-CHN,Coimbatore
2025-04-06,Biometric,Approved,MH-PUN,Bengaluru
2024-09-21,Address,Approved,KA-BLR,Mumbai
2025-08-17,Name,Rejected,MH-MUM,Mumbai
2024-09-28,Name,Rejected,UP-AGR,Agra
2025-04-18,Biometric,Approved,UP-LKO,Agra
2026-02-26,Photo,Approved,KA-BLR,Agra
2024-12-12,Address,Pending,UP-LKO,New Delhi
2025-09-08,Address,Approved,MH-NSK,Mysuru
2026-03-12,DOB,Approved,MH-NSK,Bengaluru
2024-10-24,Name,Approved,MH-NSK,Coimbatore
2025-07-06,Name,Approved,MH-NSK,Lucknow
2024-11-13,Address,Approved,UP-LKO,Pune
2025-12-16,DOB,Pending,TN-CBE,Mysuru
2025-04-26,Biometric,Approved,UP-AGR,Nashik
2024-08-21,DOB,Rejected,MH-PUN,Coimbatore
2024-09-05,Name,Approved,KA-MYS,Chennai
2025-02-03,Mobile,Approved,UP-LKO,Mysuru
2026-03-14,Name,Pending,MH-MUM,Agra
2024-12-06,Photo,Pending,KA-BLR,Mumbai
2025-01-15,Mobile,Rejected,KA-BLR,New Delhi
2025-01-03,Biometric,Pending,MH-NSK,Mumbai
2025-12-15,Address,Approved,MH-PUN,Lucknow
2025-04-11,Biometric,Approved,TN-CBE,Agra
2026-04-15,Name,Approved,MH-NSK,Nashik
2025-05-03,Name,Approved,KA-MYS,Lucknow
2024-08-07,Email,Approved,KA-MYS,Nashik
2026-01-04,DOB,Approved,MH-NSK,Bengaluru
2025-05-14,DOB,Approved,KA-BLR,Bengaluru
2025-11-13,DOB,Approved,TN-CHN,Agra
2025-05-02,Address,Approved,KA-BLR,Agra
2024-05-28,Email,Rejected,DL-NDL,Chennai
2025-05-13,Address,Approved,KA-MYS,Nashik
2025-06-10,DOB,Rejected,KA-BLR,Pune
2024-05-08,DOB,Pending,UP-AGR,Chennai
2024-06-23,Mobile,Approved,DL-NDL,Coimbatore
2025-11-30,DOB,Approved,MH-NSK,New Delhi
2026-02-25,Email,Approved,KA-MYS,Chennai
2026-01-24,Email,Rejected,MH-NSK,Chennai
2024-06-18,DOB,Rejected,MH-NSK,Agra
2024-06-17,Email,Rejected,KA-BLR,New Delhi
