enrollment_date,gender,age,enrollment_status,aadhaar_generated,region_code,district
2024-09-04,Male,64,Generated,True,MH-PUN,New Delhi
2024-05-26,Female,74,Rejected,False,UP-LKO,Coimbatore
2025-09-27,Male,50,Verified,False,DL-NDL,Mumbai
2024-09-04,Other,77,Verified,False,KA-MYS,Agra
2024-08-21,Male,87,Generated,True,TN-CBE,Mumbai
2025-12-25,Male,54,Verified,False,KA-BLR,Agra
2024-05-10,Female,56,Rejected,False,MH-NSK,Lucknow
2026-03-14,Male,72,Verified,False,TN-CBE,Chennai
2026-01-25,Male,70,Verified,False,DL-NDL,Lucknow
2024-07-17,Female,13,Verified,False,TN-CHN,Chennai
2025-12-29,Other,72,Verified,False,MH-NSK,Mysuru
2024-11-29,Female,49,Rejected,False,DL-NDL,Bengaluru
2025-10-02,Female,66,Verified,False,TN-CBE,Coimbatore
2025-03-08,Other,13,Verified,False,KA-BLR,Mumbai
2026-01-28,Male,12,Generated,True,DL-NDL,Lucknow
2025-11-12,Male,76,Rejected,False,UP-LKO,Agra
2024-08-22,Female,41,Verified,False,UP-AGR,Coimbatore
2024-10-20,Other,62,Generated,True,TN-CBE,New Delhi
2024-06-16,Male,90,Verified,False,TN-CBE,Chennai
2026-03-29,Male,52,Rejected,False,DL-NDL,New Delhi
2026-01-05,Other,85,Generated,True,MH-MUM,Mysuru
2025-01-05,Female,54,Rejected,False,TN-CBE,Pune
2026-03-26,Other,77,Generated,True,KA-MYS,Bengaluru
2025-05-09,Female,58,Verified,False,MH-MUM,Agra
2025-02-23,Other,32,Generated,True,UP-AGR,Coimbatore
2026-03-22,Male,78,Rejected,False,TN-CBE,Pune
2025-04-01,Male,78,Generated,True,KA-MYS,New Delhi
2025-08-14,Female,43,Generated,True,KA-MYS,Chennai
2026-01-13,Other,59,Verified,False,KA-MYS,Coimbatore
2026-01-15,Other,44,Rejected,False,TN-CBE,Bengaluru
2025-03-27,Other,52,Verified,False,MH-NSK,Chennai
2025-09-17,Other,84,Verified,False,KA-MYS,Mysuru
2024-12-08,Other,83,Verified,False,TN-CBE,Agra
2025-07-07,Female,50,Generated,True,MH-MUM,Lucknow
2025-12-07,Male,71,Rejected,False,TN-CBE,Chennai
2025-08-23,Female,59,Generated,True,KA-MYS,Chennai
2025-11-10,Other,66,Verified,False,UP-LKO,Agra
2024-09-15,Other,29,Pending,False,DL-NDL,Pune
2025-06-05,Other,33,Rejected,False,KA-MYS,New Delhi
2025-02-21,Male,30,Verified,False,MH-MUM,Coimbatore
2024-08-10,Other,68,Verified,False,DL-NDL,Mumbai
2024-12-28,Other,88,Generated,True,UP-LKO,Agra
2026-03-15,Male,47,Verified,False,UP-LKO,Agra
2025-01-29,Other,59,Rejected,False,KA-MYS,New Delhi
2026-01-11,Female,50,Verified,False,TN-CHN,New Delhi
2025-02-06,Other,74,Rejected,False,MH-MUM,Chennai
2026-01-10,Female,91,Verified,False,TN-CBE,Agra
2026-01-04,Male,69,Verified,False,UP-AGR,Agra
2025-11-29,Other,91,Generated,True,KA-BLR,Lucknow
2025-03-13,Male,25,Verified,False,TN-CHN,Bengaluru
2025-02-11,Female,58,Verified,False,UP-AGR,Mysuru
2025-08-17,Male,61,Verified,False,DL-NDL,Bengaluru
2024-05-03,Female,38,Verified,False,MH-PUN,Lucknow
2024-08-24,Male,18,Verified,False,MH-NSK,Lucknow
2025-03-17,Other,73,Verified,False,MH-MUM,Lucknow
2025-10-19,Male,12,Pending,False,UP-LKO,Bengaluru
2025-12-01,Other,91,Pending,False,DL-NDL,Mumbai
2025-08-28,Female,45,Verified,False,KA-BLR,Chennai
2024-04-23,Female,29,Pending,False,MH-MUM,Mumbai
2025-07-26,Male,38,Rejected,False,MH-PUN,Bengaluru
2025-06-23,Male,43,Verified,False,KA-MYS,Chennai
2024-08-08,Other,17,Rejected,False,KA-BLR,Mumbai
2025-07-05,Male,77,Generated,True,MH-PUN,New Delhi
2026-03-30,Male,78,Rejected,False,TN-CHN,Agra
2024-08-12,Male,47,Verified,False,TN-CBE,Chennai
2025-09-17,Male,80,Verified,False,MH-NSK,Mysuru
2025-08-02,Female,7,Generated,True,DL-NDL,Bengaluru
2025-12-23,Other,65,Verified,False,DL-NDL,Mysuru
2026-01-25,Male,77,Pending,False,UP-AGR,Pune
2026-01-30,Male,55,Verified,False,UP-AGR,Chennai
2024-07-14,Male,54,Rejected,False,MH-PUN,Mumbai
2024-10-09,Other,19,Generated,True,TN-CHN,Bengaluru
2025-01-25,Other,28,Generated,True,MH-NSK,Agra
2025-07-24,Male,78,Rejected,False,MH-NSK,Mumbai
2025-10-02,Female,52,Rejected,False,TN-CBE,Coimbatore
2024-07-11,Other,55,Pending,False,MH-PUN,Mysuru
2026-02-02,Male,61,Generated,True,KA-MYS,Agra
2025-02-04,Other,27,Rejected,False,MH-MUM,Mysuru
2025-06-03,Other,86,Pending,False,UP-AGR,Chennai
2025-07-12,Male,16,Verified,False,KA-MYS,Agra
2026-03-06,Other,93,Verified,False,MH-MUM,Pune
2024-07-30,Other,71,Verified,False,MH-NSK,Mysuru
2024-08-01,Female,42,Verified,False,MH-MUM,Nashik
2025-08-05,Female,62,Verified,False,TN-CHN,Mysuru
2024-11-08,Female,9,Rejected,False,MH-MUM,Agra
2026-01-31,Other,36,Generated,True,UP-AGR,Mysuru
2026-03-08,Male,82,Verified,False,UP-AGR,New Delhi
2025-05-08,Female,55,Pending,False,UP-LKO,Coimbatore
2024-10-12,Male,36,Generated,True,TN-CHN,Mumbai
2026-01-27,Female,48,Verified,False,DL-NDL,Coimbatore
2024-10-09,Male,88,Generated,True,UP-LKO,New Delhi
2024-11-01,Other,58,Pending,False,DL-NDL,Agra
2024-09-19,Other,30,Verified,False,UP-LKO,Pune
2025-01-24,Male,14,Rejected,False,TN-CHN,Lucknow
2025-11-21,Male,52,Generated,True,MH-NSK,Agra
2026-01-30,Male,16,Pending,False,KA-BLR,Mumbai
2024-11-09,Female,91,Generated,True,UP-AGR,Lucknow
2026-01-10,Male,26,Verified,False,UP-AGR,Lucknow
2025-12-31,Female,9,Verified,False,KA-MYS,Coimbatore
2024-11-30,Male,76,Verified,False,TN-CBE,Agra
2025-08-05,Other,37,Verified,False,DL-NDL,Mysuru
2024-07-01,Male,65,Generated,True,DL-NDL,Mumbai
2024-06-02,Other,15,Pending,False,UP-LKO,Agra
2026-03-29,Other,15,Verified,False,MH-MUM,Nashik
2025-06-10,Female,55,Generated,True,TN-CHN,Pune
2025-03-31,Other,25,Verified,False,MH-MUM,Chennai
2026-04-16,Male,41,Rejected,False,UP-AGR,Chennai
2025-11-19,Female,79,Verified,False,KA-BLR,Mumbai
2025-04-12,Male,66,Verified,False,UP-LKO,Pune
2025-08-21,Other,74,Generated,True,MH-NSK,Agra
2024-11-28,Other,90,Generated,True,MH-NSK,Chennai
2026-04-15,Female,77,Verified,False,KA-MYS,Pune
2025-03-18,Male,35,Verified,False,DL-NDL,Mumbai
2024-06-07,Other,45,Rejected,False,DL-NDL,Mumbai
2025-07-02,Female,48,Verified,False,MH-MUM,Chennai
2024-05-27,Male,40,Verified,False,KA-BLR,Mumbai
2025-06-06,Other,71,Rejected,False,MH-NSK,Nashik
